0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17,0.83,0.83,0.83,0.83
0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42
0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42
0.08,0.33,0.58,0.83,0.58,0.08,0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25
0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42
0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83
0.08,0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83
0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25
0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17,0.83,0.83,0.83,0.83,0.17,0.83,0.83
0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17,0.83,0.83,0.83
0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17,0.83,0.83
0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25
0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0
0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17,0.83,0.83,0.83,0.83,0.17,0.83
0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17
0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42
0.0,0.08,0.33,0.58,0.83,0.58,0.08,0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0
0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75
0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17,0.83,0.83,0.83,0.83,0.17
0.58,0.83,0.58,0.08,0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42
0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17
0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0
0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83
0.83,0.58,0.08,0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0
0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75
0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83,0.17,0.83
0.33,0.58,0.83,0.58,0.08,0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75
0.25,0.75,0.42,0.0,0.17,0.83,0.83,0.17,0.83,0.83,0.0,0.25,0.75,0.42,0.42,0.0,0.25,0.75,0.42,0.42,0.83
0.58,0.08,0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17
0.33,0.58,0.83,0.58,0.17,0.83,0.83,0.17,0.83,0.83,0.25,0.75,0.42,0.0,0.25,0.75,0.42,0.0,0.17,0.83,0.83
