3,7,3,8
10,7,3,0
0,9,3,5
3,3,0,0
8,3,1,8
1,1,5,1
8,3,10,7
8,10,7,1
8,8,2,5
1,7,1,8
1,3,1,1
8,8,10,7
1,8,3,1
10,7,1,4
7,1,10,5
1,10,3,3
8,3,0,9
10,4,10,7
3,1,8,1
7,10,10,7
7,10,1,8
1,8,8,0
7,10,7,1
5,1,1,5
1,8,1,7
10,7,7,10
5,8,8,8
0,3,3,8
5,1,10,0
0,10,7,3
8,0,10,7
0,3,10,3
10,7,8,0
7,1,4,7
7,1,3,8
3,0,0,3
7,1,8,1
0,8,8,3
7,0,8,8
5,7,1,10
10,10,7,1
1,1,10,1
3,8,0,3
10,2,5,8
1,10,0,1
3,7,10,0
0,5,3,3
7,3,7,10
8,3,3,8
1,8,1,8
10,0,1,1
1,0,1,8
2,5,8,8
3,5,3,0
8,3,7,10
3,10,3,8
3,7,1,3
7,10,10,7
8,10,7,10
3,7,10,1
3,1,3,8
7,3,7,10
8,8,3,3
4,7,10,7
5,3,7,7
9,3,5,3
3,10,4,7
3,8,8,10
1,10,7,1
8,0,5,3
8,0,3,3
1,3,0,3
10,10,3,7
8,1,7,3
8,8,3,8
5,10,2,5
0,3,7,10
1,10,4,10
8,8,0,8
1,3,8,0
1,1,3,8
7,1,10,7
3,0,9,3
7,10,10,3
3,5,7,1
0,8,8,3
7,3,8,10
3,8,8,3
10,1,8,3
7,1,3,0
10,7,7,10
1,5,10,0
10,7,10,10
10,5,3,7
7,10,0,1
10,7,3,3
3,8,10,7
0,3,7,7
7,7,10,10
7,7,10,10
7,0,8,8
3,7,7,3
3,3,8,3
8,8,3,3
1,4,7,10
3,7,10,3
0,1,3,1
5,3,0,3
3,0,3,7
7,3,3,10
7,3,0,3
8,8,8,2
5,10,0,9
8,8,3,10
7,7,3,0
0,1,1,1
8,8,3,1
3,10,7,8
7,10,7,0
10,3,7,3
7,10,3,10
0,9,1,5
3,8,3,0
3,3,8,8
3,10,7,0
3,8,0,3
5,5,1,1
1,8,3,3
10,7,0,8
3,5,1,5
3,8,8,3
3,1,8,8
3,0,3,10
1,10,1,7
1,10,5,3
1,3,8,8
8,3,1,3
3,3,3,10
10,7,0,8
1,4,7,10
7,10,7,3
10,3,3,3
10,4,7,10
1,5,5,1
7,3,5,7
4,7,10,7
0,3,10,7
4,7,10,7
5,3,7,3
1,8,1,10
3,3,10,1
8,3,3,8
0,3,5,1
10,7,1,10
3,3,8,0
8,0,5,10
3,3,10,7
3,10,7,3
3,3,1,8
10,7,3,5
10,3,10,4
0,0,3,5
3,3,7,1
3,10,1,10
10,10,7,7
9,1,5,5
8,1,10,1
7,7,3,3
0,5,10,2
8,3,3,8
3,8,0,5
8,0,8,3
1,7,3,7
3,3,8,8
7,1,10,4
0,1,4,7
10,7,1,10
3,0,3,3
3,8,0,10
7,3,0,3
5,3,3,8
1,3,8,0
10,7,1,3
8,2,5,3
2,5,3,7
0,3,3,0
8,3,3,1
7,8,0,5
3,0,3,7
8,1,8,3
7,10,8,0
3,7,3,7
8,3,8,8
3,8,8,3
10,1,10,3
8,0,3,10
3,7,7,3
4,10,7,7
3,8,8,3
7,3,3,7
0,1,8,1
3,7,10,8
10,0,9,1
5,1,5,10
1,5,1,10
3,3,8,0
10,0,1,3
1,10,1,0
10,1,7,1
3,1,1,10
10,1,0,1
0,8,3,7
8,8,3,3
1,1,1,3
10,3,8,8
