1,1,4,4
0,8,6,0
8,1,1,4
9,4,1,9
1,4,4,8
1,4,9,9
8,8,8,8
10,7,1,4
6,3,0,6
0,8,6,1
8,8,0,8
7,8,1,1
6,2,9,6
2,9,6,2
4,4,8,8
9,6,6,2
1,4,4,8
1,1,4,4
6,1,8,4
9,6,2,6
4,8,8,1
9,1,9,4
4,1,8,8
6,2,9,6
8,6,0,8
8,1,1,4
6,3,0,3
9,6,2,9
9,4,1,4
4,1,1,8
4,1,4,9
8,1,1,4
8,1,1,4
4,7,10,7
4,4,8,8
2,9,6,2
8,1,1,4
8,4,1,8
1,8,1,1
8,1,1,4
4,1,9,4
8,8,1,1
8,3,1,6
4,4,1,1
8,8,8,8
6,6,8,8
4,11,11,9
1,9,4,1
1,1,1,1
8,8,1,1
9,9,6,6
1,1,4,4
3,0,6,3
8,1,1,8
1,8,3,1
1,8,11,11
7,10,7,1
1,4,4,11
9,9,9,1
4,8,8,1
9,9,9,6
4,4,8,8
1,8,4,1
3,0,3,8
1,1,8,1
1,4,7,10
1,1,4,4
6,2,9,6
4,8,8,1
2,6,6,6
1,6,3,0
4,8,8,1
6,2,6,6
11,9,9,9
0,1,4,7
2,9,6,2
3,1,6,3
4,4,8,8
1,4,4,1
1,1,4,4
1,8,8,8
4,8,8,1
1,4,7,10
6,6,6,8
8,0,8,6
8,1,1,1
1,4,4,8
4,4,11,11
8,8,8,4
9,4,1,9
1,4,4,8
8,6,1,8
8,1,1,4
6,8,8,8
6,0,8,6
1,1,4,4
4,7,10,7
1,1,1,1
0,3,8,8
8,8,1,1
8,8,1,1
1,1,4,4
4,1,8,3
0,6,3,0
8,8,8,0
7,10,7,8
1,4,4,8
9,9,1,9
1,9,4,1
8,11,11,8
8,8,1,1
1,4,4,8
7,1,4,7
6,6,2,9
4,4,8,8
8,8,1,1
10,7,8,1
4,4,8,8
3,8,8,1
1,1,4,4
11,11,9,9
4,8,8,1
11,11,8,1
1,9,4,1
8,4,1,8
11,8,1,1
1,1,8,11
8,8,1,1
9,6,2,9
8,1,1,4
8,8,4,1
4,1,9,4
4,9,9,9
